Game Date,Team,Matchup,Points,Rebounds,Assists,Turnovers,SOURCE
2025-07-19 00:00:00,NYK,NYK vs. WAS,85,45,21,12,NYK_last5
2025-07-17 00:00:00,NYK,NYK vs. IND,88,32,19,16,NYK_last5
2025-07-15 00:00:00,NYK,NYK vs. BKN,97,36,21,18,NYK_last5
2025-07-13 00:00:00,NYK,NYK @ BOS,81,43,17,22,NYK_last5
2025-07-11 00:00:00,NYK,NYK @ DET,86,38,23,16,NYK_last5
2025-07-17 00:00:00,BOS,BOS @ LAL,87,42,21,16,BOS_last5
2025-07-14 00:00:00,BOS,BOS @ MIA,96,35,26,15,BOS_last5
2025-07-13 00:00:00,BOS,BOS vs. NYK,94,38,19,16,BOS_last5
2025-07-11 00:00:00,BOS,BOS vs. MEM,92,45,17,17,BOS_last5
2025-04-13 00:00:00,BOS,BOS vs. CHA,93,49,22,13,BOS_last5
2025-07-13,NYK,NYK @ BOS,81,43,17,22,head_to_head
2025-04-08,BOS,BOS @ NYK,119,38,26,15,head_to_head
2025-02-23,NYK,NYK @ BOS,105,40,21,11,head_to_head
2025-02-08,BOS,BOS @ NYK,131,48,21,10,head_to_head
2024-10-22,NYK,NYK @ BOS,109,34,20,11,head_to_head
